billing_group_id,code,name,full_name
168,3.2080.010,Splittstreuer für Tandem- und Kombiwalzen bis 10 to.,3.2080.010 - Splittstreuer für Tandem- und Kombiwalzen bis 10 to.
169,3.2090.020,"Gummiradwalze 8,0 - 27,9 t","3.2090.020 - Gummiradwalze 8,0 - 27,9 t"
170,4.1010.010,Kaltfräse (Rad) FB 500 mm,4.1010.010 - Kaltfräse (Rad) FB 500 mm
171,4.1020.010,Kaltfräse (Kette) FB 1000 mm,4.1020.010 - Kaltfräse (Kette) FB 1000 mm
172,4.1030.010,Förderband für Kaltfräse (Rad) FB 500 mm,4.1030.010 - Förderband für Kaltfräse (Rad) FB 500 mm
173,4.1040.010,Fräswalze für Kaltfräse,4.1040.010 - Fräswalze für Kaltfräse
174,4.2010.010,Beschicker Kurzband,4.2010.010 - Beschicker Kurzband
175,4.2010.020,Beschicker Offset,4.2010.020 - Beschicker Offset
176,4.2020.010,Schwenkband für Beschicker,4.2020.010 - Schwenkband für Beschicker
177,4.2030.010,Materialkübel für Beschicker,4.2030.010 - Materialkübel für Beschicker
178,4.3010.010,"Radfertiger max EB 0 - 2,4 m","4.3010.010 - Radfertiger max EB 0 - 2,4 m"
179,4.3010.030,"Radfertiger max EB 4,5 - 5,4 m","4.3010.030 - Radfertiger max EB 4,5 - 5,4 m"
180,4.3010.050,"Radfertiger max EB 7,5 - 9,4 m","4.3010.050 - Radfertiger max EB 7,5 - 9,4 m"
181,4.3020.005,"Kettenfertiger max EB 0 - 2,4 m","4.3020.005 - Kettenfertiger max EB 0 - 2,4 m"
182,4.3020.010,"Kettenfertiger max EB 2,5 - 4,4 m","4.3020.010 - Kettenfertiger max EB 2,5 - 4,4 m"
183,4.3020.020,"Kettenfertiger max EB 4,5 - 5,4 m","4.3020.020 - Kettenfertiger max EB 4,5 - 5,4 m"
184,4.3020.030,"Kettenfertiger max EB 5,5 - 8,4 m","4.3020.030 - Kettenfertiger max EB 5,5 - 8,4 m"
185,4.3020.040,"Kettenfertiger max EB 8,5 - 10,4 m","4.3020.040 - Kettenfertiger max EB 8,5 - 10,4 m"
186,4.3020.041,"Kettenfertiger max EB 8,5 - 10,4 m (-5)","4.3020.041 - Kettenfertiger max EB 8,5 - 10,4 m (-5)"
187,4.3020.045,"Kettenfertiger max EB 8,5 - 10,4 m (HGT)","4.3020.045 - Kettenfertiger max EB 8,5 - 10,4 m (HGT)"
188,4.3020.048,"Kettenfertiger max EB 8,5 - 10,4 m (SprayJet)","4.3020.048 - Kettenfertiger max EB 8,5 - 10,4 m (SprayJet)"
189,4.3020.050,"Kettenfertiger max EB 10,5 - 12,4 m","4.3020.050 - Kettenfertiger max EB 10,5 - 12,4 m"
190,4.3020.051,"Kettenfertiger max EB 10,5 - 12,4 m (Hochverdichtung -3)","4.3020.051 - Kettenfertiger max EB 10,5 - 12,4 m (Hochverdichtung -3)"
191,4.3020.052,"Kettenfertiger max EB 10,5 - 12,4 m (Hochverdichtung -5)","4.3020.052 - Kettenfertiger max EB 10,5 - 12,4 m (Hochverdichtung -5)"
192,4.3020.060,"Kettenfertiger max EB 12,5 - 14,4 m","4.3020.060 - Kettenfertiger max EB 12,5 - 14,4 m"
193,4.3020.061,"Kettenfertiger max EB 12,5 - 14,4 m (Hochverdichtung)","4.3020.061 - Kettenfertiger max EB 12,5 - 14,4 m (Hochverdichtung)"
194,4.3025.010,starre Bohle für Fertiger,4.3025.010 - starre Bohle für Fertiger
195,4.3030.010,Bohlenverbreiterungen für Fertiger,4.3030.010 - Bohlenverbreiterungen für Fertiger
196,4.3035.010,Bohlenverschmälerung für Fertiger,4.3035.010 - Bohlenverschmälerung für Fertiger
197,4.3040.010,BigSki Ausrüstung für Fertiger,4.3040.010 - BigSki Ausrüstung für Fertiger
198,4.3050.010,Leuchtballon,4.3050.010 - Leuchtballon
199,4.3060.010,RoadScan,4.3060.010 - RoadScan
200,4.3065.010,Navitronic,4.3065.010 - Navitronic
201,4.3066.010,BOMAP,4.3066.010 - BOMAP
202,4.4040.010,Fugenschneider bis Ø450 mm,4.4040.010 - Fugenschneider bis Ø450 mm
203,5.1020.020,"Prallbrecher 25,0 - 29,9 t","5.1020.020 - Prallbrecher 25,0 - 29,9 t"
204,5.1030.030,"Backenbrecher 30,0 - 35,9 t","5.1030.030 - Backenbrecher 30,0 - 35,9 t"
205,5.1040.010,"Siebanlage 15,0 - 17,4 t","5.1040.010 - Siebanlage 15,0 - 17,4 t"
206,5.2010.010,Betonmischer,5.2010.010 - Betonmischer
207,5.5010.010,"Scherenarbeitsbühne (elektrisch) AH 8,0 - 9,9 m","5.5010.010 - Scherenarbeitsbühne (elektrisch) AH 8,0 - 9,9 m"
208,5.5050.010,"Anhängerarbeitsbühnen AH 14,0 - 16,9 m","5.5050.010 - Anhängerarbeitsbühnen AH 14,0 - 16,9 m"
209,5.6040.010,"Telekran (Rad) TL 15,0 - 19,9 t","5.6040.010 - Telekran (Rad) TL 15,0 - 19,9 t"
